Grabnummer;Grab 5;Grab 6;Grab 7;Grab 8;Grab 9;Grab 10;Grab 12;Grab 13;Grab 15;Grab 16;Grab 18;Grab 19;Grab 21;Grab 22;Grab 24
LT B2 Fibel;1;0;3;2;0;2;1;0;0;0;0;0;3;3;0
LT C Fibel;0;0;0;0;0;0;0;1;1;1;2;3;0;0;0
LT C1 Fibel;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
LT C2 Fibel;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0
Schwert;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Schwertscheide;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Schwertkette;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Guertelkette;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Kettenglieder;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
Ohrring;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0
Silberfingering ;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0
Bronzefingerring;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1
Eisen Ring;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
