Grab Nr. ;Schwert;Kette;Lanze;LT B1 Fibel;Armreif mit Korallenauflage;Fingerring flachblech;Schaukelfingerringe;Arm-/Fussring plastisch gerippt;LT B2 Fibel;"Arm-/Fussring genoppt/ plastisch; Vollguss";Ring/ Fuss-/Armring Blech um Eisen/Ton;Hohlbuckelarmringe;Fingerring mehrfach gewickelt/plastisch;LT C1 Fibel;Glasarmring gerippt;Glasarmring Fadenauflage;Guertelkette;LT C2 Fibel;Ohrringe
M40;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M62;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M91;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M72;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M80;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M46;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M48;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M49;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M68;0;0;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
M79;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
M61;0;0;0;7;1;1;0;2;4;0;0;0;0;0;0;0;0;0;0
M102;0;0;0;7;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0
M81;0;0;0;4;0;0;0;4;3;1;0;0;0;0;0;0;0;0;0
M84;0;0;0;5;0;1;1;4;2;1;0;0;0;0;0;0;0;0;0
M86;1;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
M130;0;0;0;2;0;0;0;4;8;1;0;0;0;0;0;0;0;0;0
M136;0;0;0;1;0;0;1;4;2;0;0;0;0;0;0;0;0;0;0
M140;0;0;0;1;0;1;1;4;5;1;0;0;0;0;0;0;0;0;0
M135;0;0;0;0;1;0;1;4;2;1;0;0;0;0;0;0;0;0;0
M121;0;0;0;6;1;1;0;4;3;0;0;0;0;0;0;0;0;0;0
M145;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0;0;0;0;0
M75;0;0;0;1;0;0;1;4;7;0;1;1;0;0;0;0;0;0;0
M98;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
M134;0;1;0;0;0;1;0;4;3;1;0;0;0;0;0;0;0;0;0
M157;0;0;0;0;0;1;2;4;13;0;0;1;1;0;0;0;0;0;0
M161;0;1;0;0;0;1;0;0;5;1;0;0;1;6;0;0;0;0;0
M171;0;0;0;0;0;0;2;0;9;0;0;0;0;1;0;0;0;0;0
M180;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0
M181;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0
M164;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;1;1;0;0
M168;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;2;1;0;0
M149;0;0;0;0;0;0;4;4;15;0;1;2;0;1;0;0;1;0;0
M184;0;0;0;0;0;0;1;0;1;0;0;0;3;21;0;0;1;0;0
M211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
M212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
M193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
M214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
T24 ;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
T18;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
T22;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2
T23;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
T16;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;2;0
T15;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
T12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
T5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
T8;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
T21;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0
T10;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
T9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0
T6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
T7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2
